X,s01,s02,s101,s102
ALDH3B1,3.914224544,3.90491673,4.655548992,4.908612325
APEX1,35.07933717,36.82924315,47.04533223,47.45401034
ATF4,71.99481943,68.86171577,72.61869625,73.8429424
CAPN2,118.0460706,118.610268,133.4390612,129.2074178
CPEB2,13.32598111,13.40731892,21.27725353,20.7356288
ERCC1,4.836129739,4.909658772,6.652381403,6.926414605
FANCC,0.506034484,0.551220692,0.581927581,0.647225793
FBLN5,21.23921998,21.27284058,27.28383515,27.86143962
FOSL1,57.28990475,54.9740499,72.31732524,80.31304649
GGT7,6.07480348,6.064586951,5.87968307,6.691632303
GPX1,8.545239748,8.12588084,8.706320051,11.79319008
GPX1P1,2.243634639,1.044066862,2.001298672,2.621422372
GPX7,0.718084966,0.617811998,0.931810339,0.953322506
GSTM5,0.052450012,0.036273469,0.075961605,0.064452869
HDAC6,0.915511548,0.9998395,1.307315998,1.374649948
HGF,5.401304036,5.505727202,18.1227906,17.41076503
HNRNPM,32.10792542,31.66413624,34.02025223,34.94000929
IDH2,11.51122334,11.8149063,14.6474382,14.85500171
MAP3K5,6.93860456,7.137104094,12.40793973,12.36523395
NDUFA13,0.373892098,0.213325973,0.331411513,0.514425472
NDUFA4P1,0.352787387,0.111824765,0.591603412,1.092833116
NDUFA7,0.228602172,0.335956297,0.470477714,0.351145437
NDUFA9,0.69043252,0.860397453,0.975738551,0.884355272
NDUFAF3,4.438951898,4.826400874,7.022507212,8.207897512
NDUFAF6,0.809092535,0.831648666,0.96662192,0.885053403
NDUFAF7,5.063093269,4.400217199,5.547396008,5.556003727
NDUFAF8,7.172728779,6.286572805,7.988634279,8.870578861
NDUFB1,4.614764579,4.655725002,6.088051378,5.821038614
NDUFB10,31.04257634,31.92618536,37.59639686,38.16356655
NDUFB11,4.52328281,4.706321059,5.463969679,5.778886072
NDUFB2,3.773008353,3.804355442,4.238072838,4.440588197
NDUFB7,20.11481582,22.82980953,24.79979389,36.36265242
NDUFS6,19.24222526,20.84100958,24.17370246,24.96323395
NDUFS7,0.725542087,0.619835552,0.718953664,0.885022137
NDUFS8,3.26829474,3.387674753,4.231213528,4.376779827
NDUFV2P1,0.861159069,0.970545256,1.310398297,1.158663797
NUDT2,9.058712113,9.896022698,10.46636307,9.976326579
OGG1,0.997079846,0.973347952,1.244311403,1.396475608
PDK1,4.661308812,4.710515578,7.770986797,7.824991624
PDK2,1.655024874,1.659282471,2.53596842,2.465861227
PNKP,2.673266804,2.759968053,3.394202548,3.995316558
PPP5C,7.459644269,7.287586315,7.722556774,8.070727914
PRDX5,71.78320854,68.83620445,77.98502424,90.82482889
PRDX6,191.9599983,196.5618068,224.8090407,222.3792657
RBX1,9.140753155,9.306048237,10.4726432,10.65483371
ROMO1,19.0796666,18.80949888,19.31475585,22.69900145
SESN1,2.850712157,3.017055512,3.093640274,3.006260523
SIGMAR1,9.652118325,10.11213837,12.99386899,13.31937482
SIRT2,5.2160917,5.031033282,5.710221722,6.336370186
SOD2,10.56919436,10.68274106,15.36571178,14.97579552
SOD3,0.329711106,0.477111607,1.406304048,1.816629516
TNFAIP3,1.131259415,1.204831815,1.897054584,1.880860852
TXN2,19.72402211,22.15716219,23.52071749,25.63949061
TXNRD2,1.403922592,1.536284915,1.872196484,2.050302283
XRCC1,2.929741815,3.287037017,4.029368815,3.917478275
